2025-07-19 23:58:53.521963 - 🌐 NAT VNF started on port 9102
2025-07-19 23:59:37.423066 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.427469 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.437799 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.442890 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.447938 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.449963 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.454731 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.465554 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.533680 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.543135 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.563635 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.596874 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:38.023477 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:38.026873 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 172.64.148.235
2025-07-19 23:59:38.029279 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:39.819696 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:39.820859 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:39.861653 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:39.873218 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.805079 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:42.819359 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
